"hyena_ID","sample_ID","date_sampling","module","sub_module","clan","sex","birthdate","age_sampling","age_sampling_cat","litter_size","twin_status","sex_comp","date_reversal1","date_reversal2","type_adoption","genetic_mum_alive","social_rank_genetic_mum","surrogate_mum1_alive","social_rank_surrogate_mum1","surrogate_mum2_alive","social_rank_surrogate_mum2","date_adoption","social_rank_hyena_ID","prey_level","prey_level_imputed","sampling_month","season"
"I369","X6473",2007-09-26,"intest_biomes","social_dyn","I","F",2002-08-21,1862,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24,2,2,9,"dry"
"P516","X6587",2007-10-25,"intest_biomes","twins","P","F",2007-07-30,87,"sampled_as_juvenile","singlt",NA,NA,NA,NA,"no_adoption","mum_alive",-0.45,NA,NA,NA,NA,NA,NA,3,3,10,"dry"
"M477","X6621",2007-11-14,"intest_biomes","adoptions","M","F",2003-07-26,1572,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,2,2,11,"wet"
"I461","X6641",2007-11-20,"intest_biomes","twins","I","M",2007-06-07,166,"sampled_as_juvenile","twin","twin_dom","mixed",2007-11-20,NA,"no_adoption","mum_alive",0.7,NA,NA,NA,NA,NA,NA,2,2,11,"wet"
"I462","X6643",2007-11-20,"intest_biomes","social_dyn_twins","I","F",2007-06-07,166,"sampled_as_juvenile","twin","twin_sub","mixed",2007-11-20,NA,"no_adoption","mum_alive",0.7,NA,NA,NA,NA,NA,NA,2,2,11,"wet"
"M567","X6689",2007-11-26,"intest_biomes","twins","M","M",2007-03-15,256,"sampled_as_juvenile","twin","twin_sub","mixed",2007-10-18,NA,"no_adoption","mum_alive",-0.76,NA,NA,NA,NA,NA,NA,2,2,11,"wet"
"M583","X6685",2007-11-26,"intest_biomes","adoptions","M","M",2007-09-04,83,"sampled_as_juvenile","singlt",NA,NA,NA,NA,"adoption","mum_alive",0.94,"surrogate_mum1_alive",0.88,NA,NA,2007-09-15,NA,2,2,11,"wet"
"I365","X6753",2007-11-29,"intest_biomes","social_dyn","I","F",2002-06-14,1994,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.48,2,2,11,"wet"
"P518","X6757",2007-11-29,"intest_biomes","social_dyn","P","F",2007-08-03,118,"sampled_as_juvenile","twin","twin_sub","FF",NA,NA,"no_adoption","mum_alive",1,NA,NA,NA,NA,NA,NA,2,2,11,"wet"
"M581","X6824",2008-01-31,"intest_biomes","social_dyn","M","F",2007-08-29,155,"sampled_as_juvenile","singlt",NA,NA,NA,NA,"no_adoption","mum_alive",0.38,NA,NA,NA,NA,NA,NA,1,1,1,"wet"
"P529","X6867",2008-02-18,"intest_biomes","social_dyn","P","F",2007-10-18,123,"sampled_as_juvenile","twin","twin_sub","mixed",NA,NA,"no_adoption","mum_alive",-0.24,NA,NA,NA,NA,NA,NA,1,1,2,"wet"
"M583","X6889",2008-02-19,"intest_biomes","adoptions","M","M",2007-09-04,168,"sampled_as_juvenile","singlt",NA,NA,NA,NA,"adoption","mum_alive",0.94,"surrogate_mum1_alive",0.88,NA,NA,2007-09-15,NA,1,1,2,"wet"
"M584","X6894",2008-02-20,"intest_biomes","adoptions","M","M",2007-09-06,167,"sampled_as_juvenile","triplet",NA,"MM",NA,NA,"no_adoption","mum_alive",0.88,NA,NA,NA,NA,NA,NA,1,1,2,"wet"
"M593","X6992",2008-07-01,"intest_biomes","twins","M","M",2007-12-10,204,"sampled_as_juvenile","twin","twin_dom","MM",2008-05-27,2008-07-01,"no_adoption","mum_alive",0.61,NA,NA,NA,NA,NA,NA,2,2,7,"dry"
"M592","X6988",2008-07-01,"intest_biomes","twins","M","M",2007-12-10,204,"sampled_as_juvenile","twin","twin_sub","MM",2008-05-27,2008-07-01,"no_adoption","mum_alive",0.61,NA,NA,NA,NA,NA,NA,2,2,7,"dry"
"M438","X7063",2008-08-19,"intest_biomes","adoptions","M","F",2002-01-30,2393,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,2,2,8,"dry"
"I482","X7135",2008-09-01,"intest_biomes","social_dyn","I","F",2008-04-12,142,"sampled_as_juvenile","singlt",NA,NA,NA,NA,"no_adoption","mum_alive",-0.23,NA,NA,NA,NA,NA,NA,2,2,9,"dry"
"M297","X7127",2008-09-01,"intest_biomes","adoptions","M","F",1997-03-08,4195,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.78,2,2,9,"dry"
"I491","X7340",2008-09-22,"intest_biomes","social_dyn","I","F",2008-06-09,105,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"no_adoption","mum_alive",-0.75,NA,NA,NA,NA,NA,NA,3,3,9,"dry"
"M597","X7442",2008-10-03,"intest_biomes","adoptions","M","F",2008-06-24,101,"sampled_as_juvenile","twin","twin_dom","FF",NA,NA,"no_adoption","mum_alive",-0.83,NA,NA,NA,NA,NA,NA,3,3,10,"dry"
"M605","X7448",2008-10-03,"intest_biomes","adoptions_twins","M","F",2008-08-09,55,"sampled_as_juvenile","twin","twin_dom","FF",2008-10-10,NA,"adoption","mum_alive",-0.77,"surrogate_mum1_alive",-0.6,NA,NA,2008-12-16,NA,3,3,10,"dry"
"M595","X7456",2008-11-12,"intest_biomes","adoptions","M","F",2008-06-02,163,"sampled_as_juvenile","singlt",NA,NA,NA,NA,"no_adoption","mum_alive",-0.5,NA,NA,NA,NA,NA,NA,3,3,11,"wet"
"M604","X7466",2008-11-14,"intest_biomes","adoptions","M","F",2008-08-09,97,"sampled_as_juvenile","twin","twin_sub","FF",2008-10-10,NA,"adoption","mum_alive",-0.72,"surrogate_mum1_alive",-0.56,NA,NA,2008-12-16,NA,3,3,11,"wet"
"M600","X7579",2009-01-08,"intest_biomes","adoptions","M","F",2008-06-18,204,"sampled_as_juvenile","twin","twin_sub","mixed",NA,NA,"no_adoption","mum_alive",0.11,NA,NA,NA,NA,NA,NA,1,1,1,"wet"
"M605","X7573",2009-01-08,"intest_biomes","adoptions_twins","M","F",2008-08-09,152,"sampled_as_juvenile","twin","twin_dom","FF",2008-10-10,NA,"adoption","mum_alive",-0.67,"surrogate_mum1_alive",-0.56,NA,NA,2008-12-16,NA,1,1,1,"wet"
"M326","X7622",2009-01-30,"intest_biomes","adoptions","M","F",1998-03-01,3988,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56,1,1,1,"wet"
"M617","X7642",2009-02-04,"intest_biomes","twins","M","M",2008-10-17,110,"sampled_as_juvenile","twin","twin_sub","mixed",NA,NA,"no_adoption","mum_alive",-0.17,NA,NA,NA,NA,NA,NA,1,1,2,"wet"
"M615","X7637",2009-02-04,"intest_biomes","twins","M","F",2008-10-17,110,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"no_adoption","mum_alive",-0.17,NA,NA,NA,NA,NA,NA,1,1,2,"wet"
"M608","X7933",2009-02-27,"intest_biomes","adoptions","M","F",2008-08-28,183,"sampled_as_juvenile","twin","twin_sub","mixed",NA,NA,"no_adoption","mum_alive",-0.28,NA,NA,NA,NA,NA,NA,1,1,2,"wet"
"M410","X7935",2009-02-27,"intest_biomes","social_dyn_extreme_ranks","M","F",2000-09-01,3101,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.78,1,1,2,"wet"
"M604","X7999",2009-03-03,"intest_biomes","adoptions_twins","M","F",2008-08-09,206,"sampled_as_juvenile","twin","twin_sub","FF",2008-10-10,NA,"adoption","mum_alive",-0.67,"surrogate_mum1_alive",-0.56,NA,NA,2008-12-16,NA,1,1,3,"wet"
"M597","X8089",2009-05-16,"intest_biomes","adoptions","M","F",2008-06-24,326,"sampled_as_juvenile","twin","twin_dom","FF",NA,NA,"no_adoption","mum_alive",-0.78,NA,NA,NA,NA,NA,NA,3,3,5,"dry"
"I458","X8181",2009-06-05,"intest_biomes","social_dyn","I","F",2007-04-01,796,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.88,1,1,6,"dry"
"M421","X8286",2009-06-11,"intest_biomes","adoptions","M","F",2001-07-26,2877,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,3,3,6,"dry"
"P489","X8435",2009-07-14,"intest_biomes","social_dyn","P","F",2006-06-16,1124,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,2,2,7,"dry"
"I515","X8453",2009-07-22,"intest_biomes","social_dyn","I","F",2009-03-17,127,"sampled_as_juvenile","singlt",NA,NA,NA,NA,"no_adoption","mum_alive",-0.09,NA,NA,NA,NA,NA,NA,2,2,7,"dry"
"P564","X8549",2009-09-23,"intest_biomes","twins","P","F",2009-07-09,76,"sampled_as_juvenile","twin","twin_sub","mixed",NA,NA,"no_adoption","mum_alive",-0.45,NA,NA,NA,NA,NA,NA,2,2,9,"dry"
"I512","X8562",2009-09-24,"intest_biomes","twins","I","M",2009-05-02,145,"sampled_as_juvenile","twin","twin_dom","MM",NA,NA,"no_adoption","mum_alive",-0.77,NA,NA,NA,NA,NA,NA,2,2,9,"dry"
"I513","X8566",2009-09-25,"intest_biomes","twins","I","M",2009-05-02,146,"sampled_as_juvenile","twin","twin_sub","MM",NA,NA,"no_adoption","mum_alive",-0.77,NA,NA,NA,NA,NA,NA,2,2,9,"dry"
"P563","X8572",2009-09-30,"intest_biomes","twins","P","M",2009-07-09,83,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"no_adoption","mum_alive",-0.45,NA,NA,NA,NA,NA,NA,2,2,9,"dry"
"M639","X8667",2009-10-16,"intest_biomes","twins","M","M",2009-06-05,133,"sampled_as_juvenile","twin","twin_sub","mixed",NA,NA,"no_adoption","mum_alive",0.84,NA,NA,NA,NA,NA,NA,1,1,10,"dry"
"M637","X8661",2009-10-16,"intest_biomes","twins","M","M",2009-05-30,139,"sampled_as_juvenile","twin","twin_sub","MM",NA,NA,"no_adoption","mum_alive",0.79,NA,NA,NA,NA,NA,NA,1,1,10,"dry"
"P561","X8687",2009-10-20,"intest_biomes","adoptions","P","F",2009-06-25,117,"sampled_as_juvenile","twin",NA,"FF",NA,NA,"adoption","mum_alive",-1,"surrogate_mum1_alive",0.54,NA,NA,2009-08-10,NA,3,3,10,"dry"
"P559","X8691",2009-10-20,"intest_biomes","adoptions","P","F",2009-06-25,117,"sampled_as_juvenile","twin",NA,"FF",NA,NA,"no_adoption","mum_alive",-1,NA,NA,NA,NA,NA,NA,3,3,10,"dry"
"P557","X8699",2009-10-21,"intest_biomes","adoptions","P","F",2009-06-20,123,"sampled_as_juvenile","singlt",NA,NA,NA,NA,"no_adoption","mum_alive",0.6,NA,NA,NA,NA,NA,NA,3,3,10,"dry"
"P559","X8749",2009-11-07,"intest_biomes","adoptions","P","F",2009-06-25,135,"sampled_as_juvenile","twin",NA,"FF",NA,NA,"no_adoption","mum_alive",-1,NA,NA,NA,NA,NA,NA,3,3,11,"wet"
"P566","X8760",2009-11-10,"intest_biomes","adoptions","P","F",2009-07-07,126,"sampled_as_juvenile","singlt",NA,NA,NA,NA,"joint_raising","mum_alive",-0.06,"surrogate_mum1_alive",-0.11,NA,NA,2009-10-31,NA,3,3,11,"wet"
"P423","X8770",2009-11-14,"intest_biomes","adoptions","P","F",2004-01-10,2135,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,1,11,"wet"
"P559","X8766",2009-11-14,"intest_biomes","social_dyn","P","F",2009-06-25,142,"sampled_as_juvenile","twin",NA,"FF",NA,NA,"no_adoption","mum_alive",-1,NA,NA,NA,NA,NA,NA,1,1,11,"wet"
"M636","X8774",2009-11-15,"intest_biomes","twins","M","M",2009-05-30,169,"sampled_as_juvenile","twin","twin_dom","MM",NA,NA,"no_adoption","mum_alive",1,NA,NA,NA,NA,NA,NA,1,1,11,"wet"
"I484","X8908",2009-11-28,"intest_biomes","social_dyn","I","F",2008-04-27,580,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"no_adoption","mum_alive",0.14,NA,NA,NA,NA,NA,NA,3,3,11,"wet"
"I447","X8931",2009-11-30,"intest_biomes","extreme_ranks","I","F",2006-08-20,1198,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,3,3,11,"wet"
"I459","X8978",2009-12-02,"intest_biomes","social_dyn","I","F",2007-05-26,921,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43,3,3,12,"wet"
"I247","X9162",2009-12-15,"intest_biomes","adoptions","I","F",1996-08-27,4858,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.54,2,2,12,"wet"
"I545","X9326",2010-02-23,"intest_biomes","social_dyn","I","F",2009-10-28,118,"sampled_as_juvenile","twin","twin_sub","FF",NA,NA,"no_adoption","mum_alive",0.14,NA,NA,NA,NA,NA,NA,2,2,2,"wet"
"M659","B318",2010-06-26,"intest_biomes","twins","M","M",2010-04-03,84,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"no_adoption","mum_alive",0.11,NA,NA,NA,NA,NA,NA,2,2,6,"dry"
"M660","B340",2010-06-28,"intest_biomes","twins","M","F",2010-04-03,86,"sampled_as_juvenile","twin","twin_sub","mixed",NA,NA,"no_adoption","mum_alive",0.11,NA,NA,NA,NA,NA,NA,2,2,6,"dry"
"P591","B433",2010-07-05,"intest_biomes","twins","P","M",2010-03-21,106,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"no_adoption","mum_alive",-0.12,NA,NA,NA,NA,NA,NA,2,2,7,"dry"
"P587","B425",2010-07-05,"intest_biomes","twins","P","F",2010-03-21,106,"sampled_as_juvenile","twin","twin_sub","mixed",NA,NA,"no_adoption","mum_alive",-0.12,NA,NA,NA,NA,NA,NA,2,2,7,"dry"
"I562","B540",2010-07-07,"intest_biomes","social_dyn","I","F",2010-02-05,152,"sampled_as_juvenile","twin","twin_dom","FF",NA,NA,"no_adoption","mum_alive",-0.35,NA,NA,NA,NA,NA,NA,2,2,7,"dry"
"I551","B574",2010-07-09,"intest_biomes","adoptions","I","M",2010-01-12,178,"sampled_as_juvenile","twin","twin_dom","mixed",2010-07-07,NA,"no_adoption","mum_alive",-0.65,NA,NA,NA,NA,NA,NA,2,2,7,"dry"
"M581","B610",2010-07-26,"intest_biomes","social_dyn","M","F",2007-08-29,1062,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,2,2,7,"dry"
"I567","B635",2010-08-05,"intest_biomes","social_dyn","I","F",2010-03-01,157,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"no_adoption","mum_alive",-0.2,NA,NA,NA,NA,NA,NA,2,2,8,"dry"
"M661","B740",2010-08-26,"intest_biomes","twins","M","F",2010-05-02,116,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"no_adoption","mum_alive",0.54,NA,NA,NA,NA,NA,NA,2,2,8,"dry"
"M662","B783",2010-09-01,"intest_biomes","twins","M","M",2010-05-02,122,"sampled_as_juvenile","twin","twin_sub","mixed",NA,NA,"no_adoption","mum_alive",0.54,NA,NA,NA,NA,NA,NA,1,1,9,"dry"
"I562","B824",2010-09-07,"intest_biomes","adoptions","I","F",2010-02-05,214,"sampled_as_juvenile","twin","twin_dom","FF",NA,NA,"no_adoption","mum_alive",-0.35,NA,NA,NA,NA,NA,NA,2,2,9,"dry"
"I581","B841",2010-09-13,"intest_biomes","twins","I","M",2010-06-30,75,"sampled_as_juvenile","twin","twin_dom","MM",2010-10-07,NA,"no_adoption","mum_alive",0.45,NA,NA,NA,NA,NA,NA,2,2,9,"dry"
"I558","B867",2010-09-20,"intest_biomes","adoptions","I","F",2010-02-19,213,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"adoption","mum_alive",-0.85,"surrogate_mum1_alive",0.55,NA,NA,2010-03-18,NA,1,1,9,"dry"
"I351","B897",2010-09-28,"intest_biomes","adoptions","I","F",2001-08-11,3335,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2,2,9,"dry"
"M669","B923",2010-10-01,"intest_biomes","twins","M","M",2010-06-14,109,"sampled_as_juvenile","twin","twin_dom","mixed",2010-08-20,NA,"no_adoption","mum_alive",0.35,NA,NA,NA,NA,NA,NA,2,2,10,"dry"
"I566","B981",2010-10-07,"intest_biomes","adoptions","I","M",2010-04-29,161,"sampled_as_juvenile","singlt",NA,NA,NA,NA,"no_adoption","mum_alive",0.75,NA,NA,NA,NA,NA,NA,2,2,10,"dry"
"I557","B990",2010-10-07,"intest_biomes","adoptions","I","M",2010-02-19,230,"sampled_as_juvenile","twin","twin_sub","mixed",NA,NA,"adoption","mum_alive",-0.85,"surrogate_mum1_alive",0.55,NA,NA,2010-03-18,NA,2,2,10,"dry"
"P316","B1008",2010-10-13,"intest_biomes","adoptions","P","F",1999-07-27,4096,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,2,2,10,"dry"
"M668","B1065",2010-10-20,"intest_biomes","twins","M","F",2010-06-14,128,"sampled_as_juvenile","twin","twin_sub","mixed",2010-08-20,NA,"no_adoption","mum_alive",0.35,NA,NA,NA,NA,NA,NA,2,2,10,"dry"
"I581","B1079",2010-10-23,"intest_biomes","twins","I","M",2010-06-30,115,"sampled_as_juvenile","twin","twin_dom","MM",2010-10-07,NA,"no_adoption","mum_alive",0.44,NA,NA,NA,NA,NA,NA,2,2,10,"dry"
"M326","B1162",2010-11-02,"intest_biomes","adoptions","M","F",1998-03-01,4629,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.29,2,2,11,"wet"
"M604","B1287",2010-11-16,"intest_biomes","adoptions","M","F",2008-08-09,829,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.52,2,2,11,"wet"
"I580","B1303",2010-11-17,"intest_biomes","twins","I","M",2010-06-30,140,"sampled_as_juvenile","twin","twin_sub","MM",2010-10-07,NA,"no_adoption","mum_alive",0.44,NA,NA,NA,NA,NA,NA,2,2,11,"wet"
"I565","B1445",2010-11-25,"intest_biomes","social_dyn_adoptions","I","F",2010-03-03,267,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"no_adoption","mum_alive",0.79,NA,NA,NA,NA,NA,NA,2,2,11,"wet"
"M633","B1430",2010-11-25,"intest_biomes","social_dyn","M","F",2009-04-14,590,"sampled_as_juvenile","twin","twin_sub","FF",NA,NA,"no_adoption","mum_alive",1,NA,NA,NA,NA,NA,NA,3,3,11,"wet"
"I570","B1733",2010-12-21,"intest_biomes","social_dyn_adoptions","I","F",2010-04-04,261,"sampled_as_juvenile","singlt",NA,NA,NA,NA,"no_adoption","mum_alive",-0.79,NA,NA,NA,NA,NA,NA,1,1,12,"wet"
"I591","B1830",2011-01-27,"intest_biomes","social_dyn","I","F",2010-10-07,112,"sampled_as_juvenile","twin","twin_sub","FF",NA,NA,"no_adoption","mum_alive",0.69,NA,NA,NA,NA,NA,NA,1,1,1,"wet"
"P608","B1885",2011-02-22,"intest_biomes","twins","P","M",2010-08-30,176,"sampled_as_juvenile","twin","twin_sub","mixed",2010-10-07,NA,"no_adoption","mum_alive",0.94,NA,NA,NA,NA,NA,NA,1,1,2,"wet"
"P607","B1892",2011-02-22,"intest_biomes","social_dyn_twins","P","F",2010-08-30,176,"sampled_as_juvenile","twin","twin_dom","mixed",2010-10-07,NA,"no_adoption","mum_alive",0.94,NA,NA,NA,NA,NA,NA,1,1,2,"wet"
"P618","B2198",2011-03-16,"intest_biomes","twins","P","M",2010-12-15,91,"sampled_as_juvenile","twin","twin_sub","MM",NA,NA,"no_adoption","mum_alive",-0.03,NA,NA,NA,NA,NA,NA,2,2,3,"wet"
"P617","B2250",2011-03-17,"intest_biomes","twins","P","M",2010-12-15,92,"sampled_as_juvenile","twin","twin_dom","MM",NA,NA,"no_adoption","mum_alive",-0.03,NA,NA,NA,NA,NA,NA,2,2,3,"wet"
"P589","B2287",2011-03-28,"intest_biomes","social_dyn_twins","P","F",2010-03-27,366,"sampled_as_juvenile","twin","twin_sub","mixed",2010-07-05,2010-08-31,"no_adoption","mum_alive",0.69,NA,NA,NA,NA,NA,NA,1,1,3,"wet"
"P590","B2293",2011-03-28,"intest_biomes","twins","P","M",2010-03-27,366,"sampled_as_juvenile","twin","twin_dom","mixed",2010-07-05,2010-08-31,"no_adoption","mum_alive",0.69,NA,NA,NA,NA,NA,NA,1,1,3,"wet"
"I278","B2400",2011-04-13,"intest_biomes","adoptions","I","F",1998-04-11,4750,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.85,1,1,4,"wet"
"I600","B2536",2011-06-02,"intest_biomes","twins","I","M",2011-02-19,103,"sampled_as_juvenile","twin","twin_sub","mixed",NA,NA,"no_adoption","mum_alive",-0.85,NA,NA,NA,NA,NA,NA,1,1,6,"dry"
"I602","B2530",2011-06-02,"intest_biomes","twins","I","F",2011-02-19,103,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"no_adoption","mum_alive",-0.85,NA,NA,NA,NA,NA,NA,1,1,6,"dry"
"M702","B2703",2011-07-04,"intest_biomes","twins","M","F",2011-01-10,175,"sampled_as_juvenile","twin","twin_dom","FF",NA,NA,"no_adoption","mum_alive",0.07,NA,NA,NA,NA,NA,NA,2,2,7,"dry"
"M701","B2714",2011-07-04,"intest_biomes","twins","M","F",2011-01-10,175,"sampled_as_juvenile","twin","twin_sub","FF",NA,NA,"no_adoption","mum_alive",0.07,NA,NA,NA,NA,NA,NA,2,2,7,"dry"
"M701","B2867",2011-09-19,"intest_biomes","social_dyn","M","F",2011-01-10,252,"sampled_as_juvenile","twin","twin_sub","FF",NA,NA,"no_adoption","mum_alive",0.13,NA,NA,NA,NA,NA,NA,2,2,9,"dry"
"M706","B2905",2011-10-28,"intest_biomes","social_dyn","M","F",2011-02-18,252,"sampled_as_juvenile","singlt",NA,NA,NA,NA,"no_adoption","mum_alive",0.79,NA,NA,NA,NA,NA,NA,2,2,10,"dry"
"I618","B2926",2011-11-11,"intest_biomes","twins","I","F",2011-07-08,126,"sampled_as_juvenile","twin","twin_dom","FF",NA,NA,"no_adoption","mum_alive",-0.07,NA,NA,NA,NA,NA,NA,2,2,11,"wet"
"P632","B2980",2011-11-17,"intest_biomes","social_dyn","P","F",2011-02-18,272,"sampled_as_juvenile","twin","twin_sub","mixed",NA,NA,"no_adoption","mum_alive",0.47,NA,NA,NA,NA,NA,NA,2,2,11,"wet"
"P616","B3242",2012-07-04,"intest_biomes","adoptions","P","F",2010-09-20,653,"sampled_as_juvenile","singlt",NA,NA,NA,NA,"no_adoption","mum_alive",-0.16,NA,NA,NA,NA,NA,NA,2,2,7,"dry"
"P657","B3321",2012-09-03,"intest_biomes","adoptions","P","F",2011-10-29,310,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"no_adoption","mum_alive",0.12,NA,NA,NA,NA,NA,NA,2,2,9,"dry"
"P674","B3358",2012-09-13,"intest_biomes","twins","P","F",2012-05-05,131,"sampled_as_juvenile","twin","twin_dom","FF",NA,NA,"no_adoption","mum_alive",-1,NA,NA,NA,NA,NA,NA,2,2,9,"dry"
"P673","B3354",2012-09-13,"intest_biomes","twins","P","F",2012-05-05,131,"sampled_as_juvenile","twin","twin_sub","FF",NA,NA,"no_adoption","mum_alive",-1,NA,NA,NA,NA,NA,NA,2,2,9,"dry"
"M740","B3543",2012-11-30,"intest_biomes","twins","M","M",2012-06-28,155,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"no_adoption","mum_alive",0.23,NA,NA,NA,NA,NA,NA,2,2,11,"wet"
"M746","B3538",2012-11-30,"intest_biomes","twins","M","F",2012-06-28,155,"sampled_as_juvenile","twin","twin_sub","mixed",NA,NA,"no_adoption","mum_alive",0.23,NA,NA,NA,NA,NA,NA,2,2,11,"wet"
"P703","B4290",2013-06-25,"intest_biomes","twins","P","F",2013-02-16,129,"sampled_as_juvenile","twin","twin_sub","FF",2013-05-31,NA,"no_adoption","mum_alive",-0.89,NA,NA,NA,NA,NA,NA,2,2,6,"dry"
"P701","B4285",2013-06-25,"intest_biomes","twins","P","F",2013-02-16,129,"sampled_as_juvenile","twin","twin_dom","FF",2013-05-31,NA,"no_adoption","mum_alive",-0.89,NA,NA,NA,NA,NA,NA,2,2,6,"dry"
