hyena_ID,date_sampling,sample_ID.x,module,sub_module,clan,sex,birthdate,age_sampling,age_sampling_cat,litter_size,twin_status,sex_comp,date_reversal1,date_reversal2,type_adoption,genetic_mum_alive,social_rank_genetic_mum,surrogate_mum1_alive,social_rank_surrogate_mum1,surrogate_mum2_alive,social_rank_surrogate_mum2,date_adoption,social_rank_hyena_ID,prey_level,prey_level_imputed,sampling_month,season,total_parasite_load,Ancylostoma_egg_load,Ancylostoma_rich,Cystoisospora_oocyst_load,Cystoisospora_rich,Spirometra_egg_load,Spirometra_rich,Dipylidium_egg_load,Dipylidium_rich..includes.proglotids.visualization.info.,Trichuris_egg_load,Trichuris_rich,Taeniidae_egg_load,Taeniidae_rich,Spirurida_egg_load,Spirurida_rich,Mesocestoides_egg_load,Mesocestoides_rich,other_unidentified_taxa,other_rich,total_parasite_rich,total_parasite_rich_without_other,mucin,IgA,IgG,fGCM,lysozyme,lysozyme_detection,neopterin,neopterin_CV,extract_prepared_neopterin,date_neopterin,time_of_storage_neopterin,sample_ID.y,cortisol,AFR,LRS,age_death,Survival_Ad
I459,9/18/2007,X6441,intest_biomes,social_dyn,I,F,5/26/2007,115,sampled_as_juvenile,twin,twin_sub,mixed,NA,NA,no_adoption,mum_alive,0.1,NA,NA,NA,NA,NA,NA,2,2,9,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.088.682.098,3.728.226.645,1.473.353.493,35.925,0,0,9.641,< 5%,16. Apr 20,22-Mar-21,340,ES840,35.93,1496,3,4072,Yes
I459,12.02.2009,X8978,intest_biomes,social_dyn,I,F,5/26/2007,921,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43,3,3,12,wet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.336.352.422,8.736.808.196,1.222.729.032,20.52,0,0,2.919,< 5%,16. Apr 20,14-Dec-20,242,ES1282,20.52,1496,3,4072,Yes
I461,11/20/2007,X6641,intest_biomes,twins,I,M,06.07.2007,166,sampled_as_juvenile,twin,twin_dom,mixed,11/20/2007,NA,no_adoption,mum_alive,0.7,NA,NA,NA,NA,NA,NA,2,2,11,wet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.324.552.006,1157061.77,2.150.344.709,NA,0,0,8.962,< 5%,16. Apr 20,16-Dec-20,244,ES886,NA,NA,NA,NA,Yes
I462,11/20/2007,X6643,intest_biomes,social_dyn_twins,I,F,06.07.2007,166,sampled_as_juvenile,twin,twin_sub,mixed,11/20/2007,NA,no_adoption,mum_alive,0.7,NA,NA,NA,NA,NA,NA,2,2,11,wet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1445,Yes
I476,12.10.2016,B8634,intest_biomes,extreme_ranks,I,F,10.07.2007,3352,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,12,wet,25,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.989.387.537,814.078.982,1.008.759.994,29.626,0,0,3.506,< 5%,24. Feb 20,16-Dec-20,296,ES2517,29.63,1132,4,NA,Yes
I482,09.01.2008,X7135,intest_biomes,social_dyn,I,F,04.12.2008,142,sampled_as_juvenile,singlt,NA,NA,NA,NA,no_adoption,mum_alive,-0.23,NA,NA,NA,NA,NA,NA,2,2,9,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.070.663.506,1.085.954.248,1.010.738.111,61.203,0,0,7.874,5 - 10%,16. Apr 20,22-Mar-21,340,ES993,61.2,1241,2,3394,Yes
I484,11/28/2009,X8908,intest_biomes,social_dyn,I,F,4/27/2008,580,sampled_as_juvenile,twin,twin_dom,mixed,NA,NA,no_adoption,mum_alive,0.14,NA,NA,NA,NA,NA,NA,3,3,11,wet,56450,875,1,0,0,55575,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,105.637.365,3.363.143.425,5.818.589.589,21.805,0,0,Feb 15,5 - 10%,22. Jan 21,27. Jan 21,5,ES1271,21.81,1132,2,4313,Yes
I491,9/22/2008,X7340,intest_biomes,social_dyn,I,F,06.09.2008,105,sampled_as_juvenile,twin,twin_dom,mixed,NA,NA,no_adoption,mum_alive,-0.75,NA,NA,NA,NA,NA,NA,3,3,9,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351.794.314,4.698.152.141,1.529.637.348,2.382.673,0,0,22.62,< 5%,16. Apr 20,16-Dec-20,244,ES1009,2382.67,1460,2,2598,Yes
I512,9/24/2009,X8562,intest_biomes,twins,I,M,05.02.2009,145,sampled_as_juvenile,twin,twin_dom,MM,NA,NA,no_adoption,mum_alive,-0.77,NA,NA,NA,NA,NA,NA,2,2,9,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.788.413.288,1.357.078.893,827.919.016,41.01,0,0,3.331,< 5%,16. Apr 20,16-Dec-20,244,ES1188,41.01,NA,NA,NA,No
I513,9/25/2009,X8566,intest_biomes,twins,I,M,05.02.2009,146,sampled_as_juvenile,twin,twin_sub,MM,NA,NA,no_adoption,mum_alive,-0.77,NA,NA,NA,NA,NA,NA,2,2,9,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.443.065,564.788.694,187.299.932,44.545,0,0,5.151,< 5%,16. Apr 20,23-Mar-21,341,ES1190,44.55,NA,NA,NA,No
I515,7/22/2009,X8453,intest_biomes,social_dyn,I,F,3/17/2009,127,sampled_as_juvenile,singlt,NA,NA,NA,NA,no_adoption,mum_alive,-0.09,NA,NA,NA,NA,NA,NA,2,2,7,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.275.516.359,4.667.409.483,1.262.565.695,22.401,0,0,3.672,< 5%,16. Apr 20,23-Mar-21,341,ES1150,22. Apr,1570,1,NA,Yes
I538,07.06.2016,B7706,intest_biomes,social_dyn,I,F,09.08.2009,2493,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,2,2,7,dry,1100,75,1,125,1,875,1,0,0,0,0,0,0,0,0,25,1,0,0,4,4,7.158.194.612,4.922.834.976,3.737.387.959,43.615,0,0,2.527,< 5%,16. Apr 20,17-Dec-20,245,ES2333,43.62,1570,1,2656,Yes
I545,2/23/2010,X9326,intest_biomes,social_dyn,I,F,10/28/2009,118,sampled_as_juvenile,twin,twin_sub,FF,NA,NA,no_adoption,mum_alive,0.14,NA,NA,NA,NA,NA,NA,2,2,2,wet,6100,5700,1,400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.159.240.582,5.945.063.701,4.131.622.713,36.98,0,0,Jun 79,< 5%,16. Apr 20,16-Dec-20,244,ES1321,36.98,1424,2,NA,Yes
I545,11.11.2015,B7255,intest_biomes,social_dyn,I,F,10/28/2009,2205,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,3,3,11,wet,100,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.358.092.413,3.025.768.584,8.034.353.693,33.971,0,0,Sep 67,< 5%,6-Oct-17,7-Oct-20,1097,ES2241,33.97,1424,2,NA,Yes
I551,07.09.2010,B574,intest_biomes,adoptions,I,M,01.12.2010,178,sampled_as_juvenile,twin,twin_dom,mixed,07.07.2010,NA,no_adoption,mum_alive,-0.65,NA,NA,NA,NA,NA,NA,2,2,7,dry,650,125,1,275,1,200,1,0,0,25,1,0,0,0,0,0,0,25,1,5,4,1.233.487.386,6.486.377.282,3.261.295.481,25.205,0,0,4.891,< 5%,24. Feb 20,15-Dec-20,295,ES1379,25.21,NA,NA,NA,Yes
I557,10.07.2010,B990,intest_biomes,adoptions,I,M,2/19/2010,230,sampled_as_juvenile,twin,twin_sub,mixed,NA,NA,adoption,mum_alive,-0.85,surrogate_mum1_alive,0.55,NA,NA,3/18/2010,NA,2,2,10,dry,7875,1775,1,275,1,5650,1,0,1,100,1,0,0,0,0,0,0,75,1,6,5,2.795.804.765,2.240.708.216,1.135.944.617,29.135,0,0,04. Aug,< 5%,05. Nov 20,15-Dec-20,40,ES1433,29.14,NA,NA,NA,Yes
I558,9/20/2010,B867,intest_biomes,adoptions,I,F,2/19/2010,213,sampled_as_juvenile,twin,twin_dom,mixed,NA,NA,adoption,mum_alive,-0.85,surrogate_mum1_alive,0.55,NA,NA,3/18/2010,NA,1,1,9,dry,100,100,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2.148.965.112,1.681.143.005,1.209.976.958,31.108,0,0,Okt 52,< 5%,05. Nov 20,15-Dec-20,40,ES1419,31.11,NA,NA,1743,Yes
I562,07.07.2010,B540,intest_biomes,social_dyn,I,F,02.05.2010,152,sampled_as_juvenile,twin,twin_dom,FF,NA,NA,no_adoption,mum_alive,-0.35,NA,NA,NA,NA,NA,NA,2,2,7,dry,4825,4575,1,150,1,25,1,0,0,0,0,0,0,0,0,0,0,75,1,3,2,1.261.952.691,1.128.818.311,8.976.453.188,67.59,0,0,8.316,< 5%,16. Apr 20,16-Dec-20,244,ES1377,67.59,1861,1,NA,Yes
I562,09.07.2010,B824,intest_biomes,adoptions,I,F,02.05.2010,214,sampled_as_juvenile,twin,twin_dom,FF,NA,NA,no_adoption,mum_alive,-0.35,NA,NA,NA,NA,NA,NA,2,2,9,dry,2300,1825,1,0,0,0,0,400,1,0,0,0,0,50,1,0,0,0,0,3,3,1.130.433.927,1.449.741.212,5.803.811.642,84.929,0,0,7.777,< 5%,22. Jan 21,28. Jan 21,6,ES1413,84.93,1861,1,NA,Yes
I562,12/13/2016,B8661,intest_biomes,social_dyn,I,F,02.05.2010,2503,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39,1,1,12,wet,25,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.419.734.371,341.381.434,3.180.720.166,31.78,0,0,7.273,< 5%,16. Apr 20,17-Dec-20,245,ES2523,31.78,1861,1,NA,Yes
I565,11/25/2010,B1445,intest_biomes,social_dyn_adoptions,I,F,03.03.2010,267,sampled_as_juvenile,twin,twin_dom,mixed,NA,NA,no_adoption,mum_alive,0.79,NA,NA,NA,NA,NA,NA,2,2,11,wet,16475,150,1,25,1,16300,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7.466.377.833,2.275.028.213,583.123.751,16.717,0,0,4.897,5 - 10%,24. Feb 20,16-Dec-20,296,ES1470,16.72,1606,1,2342,Yes
I565,6/16/2016,B7607,intest_biomes,social_dyn,I,F,03.03.2010,2297,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,2,2,6,dry,950,150,1,175,1,625,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7.843.109.564,1.385.563.734,1.181.321.144,29.265,0,0,3.495,< 5%,16. Apr 20,17-Dec-20,245,ES2308,29.27,1606,1,2342,Yes
I566,10.07.2010,B981,intest_biomes,adoptions,I,M,4/29/2010,161,sampled_as_juvenile,singlt,NA,NA,NA,NA,no_adoption,mum_alive,0.75,NA,NA,NA,NA,NA,NA,2,2,10,dry,275,275,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2.937.286.176,2.362.434.301,1.063.413.862,46.347,1.472.755,1,4.058,< 5%,24. Jun 17,7-Oct-20,1201,ES1432,46.35,NA,NA,NA,No
I567,08.05.2010,B635,intest_biomes,social_dyn,I,F,03.01.2010,157,sampled_as_juvenile,twin,twin_dom,mixed,NA,NA,no_adoption,mum_alive,-0.2,NA,NA,NA,NA,NA,NA,2,2,8,dry,6575,6400,1,150,1,0,0,0,0,25,1,0,0,0,0,0,0,0,0,3,3,3.635.062.781,4.669.424.378,2.234.456.229,50.85,0,0,11. Jan,< 5%,7-Oct-17,30. Sep 20,1089,ES1388,50.85,1350,2,NA,Yes
I567,11/27/2014,B6240,intest_biomes,social_dyn,I,F,03.01.2010,1732,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,2,2,11,wet,2900,25,1,0,0,2875,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6.418.497.779,2.806.196.035,1.181.506.385,22.711,0,0,Mrz 97,< 5%,16. Apr 20,17-Dec-20,245,ES1961,22.71,1350,2,NA,Yes
I570,12/21/2010,B1733,intest_biomes,social_dyn_adoptions,I,F,04.04.2010,261,sampled_as_juvenile,singlt,NA,NA,NA,NA,no_adoption,mum_alive,-0.79,NA,NA,NA,NA,NA,NA,1,1,12,wet,113000,1325,1,4100,1,107450,1,25,1,0,0,0,0,0,0,100,1,0,0,5,5,3.180.383.243,3.242.593.689,1.233.063.137,29.851,0,0,6.813,< 5%,10. Jul 17,15-Dec-20,1254,ES1506,29.85,1278,0,2554,Yes
I570,11.07.2014,B6318,intest_biomes,extreme_ranks,I,F,04.04.2010,1678,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.91,2,2,11,wet,25,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.387.130.852,529.175.862,1.847.330.435,26.755,0,0,5.719,< 5%,22. Jan 21,27. Jan 21,5,ES1934,26.76,1278,0,2554,Yes
I580,11/17/2010,B1303,intest_biomes,twins,I,M,6/30/2010,140,sampled_as_juvenile,twin,twin_sub,MM,10.07.2010,NA,no_adoption,mum_alive,0.44,NA,NA,NA,NA,NA,NA,2,2,11,wet,575,550,1,0,0,0,0,0,1,0,0,0,0,0,0,25,1,0,0,3,3,8.895.265.319,6.457.516.317,4.356.999.373,46.701,0,0,1.467,5 - 10%,16. Apr 20,16-Dec-20,244,ES1463,46.7,NA,NA,NA,Yes
I581,9/13/2010,B841,intest_biomes,twins,I,M,6/30/2010,75,sampled_as_juvenile,twin,twin_dom,MM,10.07.2010,NA,no_adoption,mum_alive,0.45,NA,NA,NA,NA,NA,NA,2,2,9,dry,7025,7025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.930.556.393,1.205.857.655,2.112.139.451,22.425,0,0,14.89,< 5%,16. Apr 20,16-Dec-20,244,ES1415,22.43,NA,NA,NA,Yes
I581,10/23/2010,B1079,intest_biomes,twins,I,M,6/30/2010,115,sampled_as_juvenile,twin,twin_dom,MM,10.07.2010,NA,no_adoption,mum_alive,0.44,NA,NA,NA,NA,NA,NA,2,2,10,dry,13650,9075,1,4425,1,0,0,0,0,25,1,0,0,0,0,0,0,125,1,4,3,9.969.527.905,4.174.824.164,8.651.684.556,1.987.129,0,0,19. Dez,< 5%,24. Jun 17,7-Oct-20,1201,ES1444,1987.13,NA,NA,NA,Yes
I591,1/27/2011,B1830,intest_biomes,social_dyn,I,F,10.07.2010,112,sampled_as_juvenile,twin,twin_sub,FF,NA,NA,no_adoption,mum_alive,0.69,NA,NA,NA,NA,NA,NA,1,1,1,wet,5050,4750,1,0,0,0,0,0,0,0,0,0,0,0,0,300,1,0,0,2,2,1.856.776.738,3.678.063.659,1.123.120.556,1.290.404,0,0,7.919,< 5%,16. Apr 20,16-Dec-20,244,ES1525,1290.4,1570,0,2262,Yes
I591,12.01.2013,B4621,intest_biomes,social_dyn,I,F,10.07.2010,1151,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,2,2,12,wet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.881.273.758,7.723.634.033,2.560.186.147,28.848,0,0,5.021,< 5%,6-Oct-17,7-Oct-20,1097,ES1880,28.85,1570,0,2262,Yes
I600,06.02.2011,B2536,intest_biomes,twins,I,M,2/19/2011,103,sampled_as_juvenile,twin,twin_sub,mixed,NA,NA,no_adoption,mum_alive,-0.85,NA,NA,NA,NA,NA,NA,1,1,6,dry,12200,25,1,6350,1,5800,1,0,1,0,0,0,0,0,0,0,0,25,1,5,4,1.048.460.568,1.140.030.305,8.168.360.112,227.66,0,0,8.134,5 - 10%,19. Jul 17,27. Jan 21,1288,ES1623,227.66,NA,NA,NA,No
I602,06.02.2011,B2530,intest_biomes,twins,I,F,2/19/2011,103,sampled_as_juvenile,twin,twin_dom,mixed,NA,NA,no_adoption,mum_alive,-0.85,NA,NA,NA,NA,NA,NA,1,1,6,dry,1675,775,1,875,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.619.416.027,6.428.690.649,5.712.585.634,100.529,0,0,04. Jun,< 5%,16. Apr 20,16-Dec-20,244,ES1622,100.53,NA,NA,309,No
I604,03.01.2017,B8996,intest_biomes,extreme_ranks,I,F,03.04.2011,2189,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,wet,2175,50,1,0,0,2075,1,0,0,0,0,50,1,0,0,0,0,0,0,3,3,434.115.316,1.495.903.793,1.176.659.956,67.49,0,0,16.97,< 5%,24. Feb 20,16-Dec-20,296,ES2619,67.49,1350,1,2297,Yes
I605,11/29/2017,B9837,intest_biomes,extreme_ranks,I,F,03.04.2011,2462,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,NA,2,11,wet,13975,0,0,175,1,13800,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4.556.852.218,1.771.302.702,4.031.504.308,49.568,0,0,4.241,< 5%,22. Jan 21,27. Jan 21,5,ES2828,49.57,1350,1,NA,Yes
I617,11/26/2013,B4604,intest_biomes,social_dyn,I,F,07.08.2011,872,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,2,2,11,wet,375,100,1,0,0,275,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4.079.609.167,4.217.944.396,36.163.992,25.653,0,0,3.334,< 5%,16. Apr 20,17-Dec-20,245,ES1876,25.65,1314,0,2011,Yes
I618,11.11.2011,B2926,intest_biomes,twins,I,F,07.08.2011,126,sampled_as_juvenile,twin,twin_dom,FF,NA,NA,no_adoption,mum_alive,-0.07,NA,NA,NA,NA,NA,NA,2,2,11,wet,27675,7450,1,20200,1,0,0,0,0,0,0,25,1,0,0,0,0,0,0,3,3,1.752.139.808,4.148.316.501,3.361.194.949,87.886,0,0,18.63,5 - 10%,16. Apr 20,16-Dec-20,244,ES1675,87.89,NA,NA,370,No
I680,11/29/2017,B9758,intest_biomes,extreme_ranks,I,F,6/21/2013,1622,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,2,11,wet,75,0,0,0,0,75,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.095.075.406,1.442.409.382,3.128.444.083,28.98,0,0,5.248,< 5%,24. Feb 20,16-Dec-20,296,ES2809,28.98,1168,1,1872,Yes
I687,11.08.2013,B4368,intest_biomes,twins,I,F,7/17/2013,114,sampled_as_juvenile,twin,twin_sub,mixed,10/19/2013,NA,no_adoption,mum_alive,-0.16,NA,NA,NA,NA,NA,NA,2,2,11,wet,14475,14300,1,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2.549.850.265,1.811.083.431,6.293.739.403,76.615,0,0,5.639,< 5%,16. Apr 20,17-Dec-20,245,ES1839,76.62,1132,1,NA,Yes
I688,11.08.2013,B4372,intest_biomes,twins,I,M,7/17/2013,114,sampled_as_juvenile,twin,twin_dom,mixed,10/19/2013,NA,no_adoption,mum_alive,-0.16,NA,NA,NA,NA,NA,NA,2,2,11,wet,24250,24075,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,1,2,1,1.467.364.551,7.719.268.842,1.123.025.353,54.196,0,0,8.013,< 5%,16. Apr 20,30. Sep 20,167,ES1840,54.2,NA,NA,NA,Yes
I691,11.06.2013,B4360,intest_biomes,twins,I,F,8/14/2013,84,sampled_as_juvenile,twin,twin_sub,FF,11/13/2013,NA,no_adoption,mum_alive,-0.56,NA,NA,NA,NA,NA,NA,2,2,11,wet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,Yes
I692,11.01.2013,B4420,intest_biomes,social_dyn_twins,I,F,8/20/2013,73,sampled_as_juvenile,twin,twin_dom,FF,11.12.2013,NA,no_adoption,mum_alive,0.6,NA,NA,NA,NA,NA,NA,2,2,11,wet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ES1861,NA,1971,0,NA,Yes
I692,03.01.2017,B8988,intest_biomes,social_dyn_twins,I,F,8/20/2013,1289,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,NA,2,3,wet,75,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.749.539.692,1.299.213.773,2.102.539.019,46.68,0,0,5.702,< 5%,16. Apr 20,17-Dec-20,245,ES2617,46.68,1971,0,NA,Yes
